customer_id,region,plan_type,contract_type,tenure_months,age,device_type,autopay_flag,intl_pack_flag,avg_monthly_gb,avg_voice_min,avg_sms,monthly_charges,total_charges,complaints_6m,avg_resolution_hours,dropped_call_rate,avg_data_speed_mbps,days_since_last_recharge,retention_call_flag,arpu,churn
TEL-10001,South,Postpaid,Annual,4,28.0,Smartphone-Budget,0,0,1.9,133,11,251.85,1182.6,2,8.1,5.35,14.5,10,0,293.13,0
TEL-10002,South,Prepaid,Monthly,35,48.0,Smartphone-Budget,0,1,25.5,383,20,516.1,17278.95,0,0.0,0.45,29.0,28,0,504.31,0
TEL-10003,South,Prepaid,Monthly,1,41.0,Smartphone-Budget,0,0,3.6,130,13,129.21,168.76,1,11.6,1.46,21.6,21,0,172.75,0
TEL-10004,South,Prepaid,Monthly,55,51.0,Feature,0,0,2.7,618,31,210.79,12580.23,1,22.9,1.63,22.0,6,0,208.39,0
TEL-10005,Central,Prepaid,Monthly,1,25.0,Smartphone-Budget,0,0,2.6,138,9,92.79,120.13,1,2.5,3.04,14.1,3,0,117.31,1
TEL-10006,East,Postpaid,Monthly,9,27.0,Smartphone-Premium,1,0,5.9,232,19,284.31,3873.77,2,86.1,5.2,25.3,33,0,417.36,0
TEL-10007,North,Postpaid,Annual,24,50.0,Smartphone-Budget,0,0,1.7,369,37,291.52,7366.57,1,71.9,3.17,31.1,23,0,288.05,0
TEL-10008,North,Prepaid,Monthly,2,24.0,Smartphone-Budget,0,0,4.9,205,15,181.56,407.32,2,22.1,3.86,11.9,5,0,195.09,1
TEL-10009,South,Postpaid,Annual,26,32.0,Smartphone-Premium,0,0,21.5,129,2,315.42,8343.01,3,58.0,2.25,21.5,5,0,306.44,0
TEL-10010,South,Postpaid,Monthly,4,26.0,Smartphone-Premium,1,0,28.3,160,8,434.04,1828.84,2,32.6,2.67,34.6,19,1,440.19,1
TEL-10011,North,Prepaid,Monthly,56,41.0,Smartphone-Premium,0,0,14.9,309,18,253.49,15330.39,0,0.0,2.84,35.4,5,0,278.99,0
TEL-10012,South,Prepaid,Monthly,1,35.0,Smartphone-Budget,0,0,5.7,148,11,225.99,260.58,1,50.7,0.95,29.0,7,1,256.05,1
TEL-10013,West,Prepaid,Monthly,26,44.0,Feature,0,1,2.3,380,30,322.41,11452.67,1,34.6,1.41,43.0,21,1,437.53,1
TEL-10014,East,Prepaid,Monthly,13,18.0,Smartphone-Premium,0,0,6.7,155,14,204.81,2594.96,0,0.0,5.73,29.4,3,1,205.36,1
TEL-10015,Central,Postpaid,Monthly,11,43.0,Smartphone-Budget,1,0,2.6,116,13,200.14,2180.97,1,42.1,5.93,18.8,14,0,208.61,0
