Month,Cell,Region,Traffic_GB,Capacity_GB
2024-02,CELL-DEL-01,Delhi,2759.1,4962
2024-03,CELL-DEL-01,Delhi,2858.8,4962
2024-04,CELL-DEL-01,Delhi,3037.8,4962
2024-05,CELL-DEL-01,Delhi,2970.7,4962
2024-06,CELL-DEL-01,Delhi,3497.1,4962
2024-07,CELL-DEL-01,Delhi,3249.7,4962
2024-08,CELL-DEL-01,Delhi,3265.8,4962
2024-09,CELL-DEL-01,Delhi,2908,4962
2024-10,CELL-DEL-01,Delhi,2754.6,4962
2024-11,CELL-DEL-01,Delhi,2708.8,4962
2024-12,CELL-DEL-01,Delhi,2647.2,4962
2025-01,CELL-DEL-01,Delhi,2735.4,4962
2025-02,CELL-DEL-01,Delhi,2966.7,4962
2025-03,CELL-DEL-01,Delhi,3304.6,4962
2025-04,CELL-DEL-01,Delhi,3179.8,4962
2025-05,CELL-DEL-01,Delhi,3438.9,4962
2025-06,CELL-DEL-01,Delhi,3173.7,4962
2025-07,CELL-DEL-01,Delhi,3432.1,4962
2025-08,CELL-DEL-01,Delhi,3162.5,4962
2025-09,CELL-DEL-01,Delhi,3263.2,4962
2025-10,CELL-DEL-01,Delhi,2962.4,4962
2025-11,CELL-DEL-01,Delhi,2901.9,4962
2025-12,CELL-DEL-01,Delhi,2792.7,4962
2026-01,CELL-DEL-01,Delhi,2882.2,4962
2026-02,CELL-DEL-01,Delhi,2893.1,4962
2026-03,CELL-DEL-01,Delhi,3136.4,4962
2026-04,CELL-DEL-01,Delhi,3440.7,4962
2026-05,CELL-DEL-01,Delhi,3281.5,4962
2026-06,CELL-DEL-01,Delhi,3511.9,4962
2026-07,CELL-DEL-01,Delhi,3637.6,4962
2024-02,CELL-DEL-02,Delhi,2960.1,7209.6
2024-03,CELL-DEL-02,Delhi,3213.6,7209.6
2024-04,CELL-DEL-02,Delhi,3963.7,7209.6
2024-05,CELL-DEL-02,Delhi,4245,7209.6
2024-06,CELL-DEL-02,Delhi,3929.2,7209.6
2024-07,CELL-DEL-02,Delhi,4044.5,7209.6
2024-08,CELL-DEL-02,Delhi,,7209.6
2024-09,CELL-DEL-02,Delhi,3576.1,7209.6
2024-10,CELL-DEL-02,Delhi,3684.3,7209.6
2024-11,CELL-DEL-02,Delhi,3548.2,7209.6
2024-12,CELL-DEL-02,Delhi,3541.9,7209.6
2025-01,CELL-DEL-02,Delhi,3622.3,7209.6
2025-02,CELL-DEL-02,Delhi,3749.5,7209.6
2025-03,CELL-DEL-02,Delhi,4180.1,7209.6
2025-04,CELL-DEL-02,Delhi,4422.6,7209.6
2025-05,CELL-DEL-02,Delhi,4408.4,7209.6
2025-06,CELL-DEL-02,Delhi,4716,7209.6
2025-07,CELL-DEL-02,Delhi,4834.9,7209.6
2025-08,CELL-DEL-02,Delhi,4729.5,7209.6
2025-09,CELL-DEL-02,Delhi,4749.6,7209.6
2025-10,CELL-DEL-02,Delhi,3999.5,7209.6
2025-11,CELL-DEL-02,Delhi,4066.6,7209.6
2025-12,CELL-DEL-02,Delhi,4594.8,7209.6
2026-01,CELL-DEL-02,Delhi,4377.1,7209.6
2026-02,CELL-DEL-02,Delhi,,7209.6
2026-03,CELL-DEL-02,Delhi,5162.5,7209.6
2026-04,CELL-DEL-02,Delhi,5155.8,7209.6
2026-05,CELL-DEL-02,Delhi,,7209.6
2026-06,CELL-DEL-02,Delhi,5594.3,7209.6
2026-07,CELL-DEL-02,Delhi,6061.5,7209.6
2024-02,CELL-DEL-03,Delhi,,12501.6
2024-03,CELL-DEL-03,Delhi,3526,12501.6
2024-04,CELL-DEL-03,Delhi,4075.4,12501.6
2024-05,CELL-DEL-03,Delhi,4269.2,12501.6
2024-06,CELL-DEL-03,Delhi,4168.3,12501.6
2024-07,CELL-DEL-03,Delhi,3994.4,12501.6
2024-08,CELL-DEL-03,Delhi,4602.3,12501.6
2024-09,CELL-DEL-03,Delhi,4449.9,12501.6
2024-10,CELL-DEL-03,Delhi,4399.6,12501.6
2024-11,CELL-DEL-03,Delhi,3977,12501.6
2024-12,CELL-DEL-03,Delhi,3926,12501.6
2025-01,CELL-DEL-03,Delhi,4706.7,12501.6
2025-02,CELL-DEL-03,Delhi,4881.8,12501.6
2025-03,CELL-DEL-03,Delhi,5280.6,12501.6
2025-04,CELL-DEL-03,Delhi,5759.1,12501.6
2025-05,CELL-DEL-03,Delhi,6268.7,12501.6
2025-06,CELL-DEL-03,Delhi,6525.7,12501.6
2025-07,CELL-DEL-03,Delhi,7061.2,12501.6
2025-08,CELL-DEL-03,Delhi,7160.8,12501.6
2025-09,CELL-DEL-03,Delhi,,12501.6
2025-10,CELL-DEL-03,Delhi,6111.5,12501.6
2025-11,CELL-DEL-03,Delhi,5877.5,12501.6
2025-12,CELL-DEL-03,Delhi,6647.4,12501.6
2026-01,CELL-DEL-03,Delhi,6011.7,12501.6
2026-02,CELL-DEL-03,Delhi,7376.7,12501.6
2026-03,CELL-DEL-03,Delhi,7692,12501.6
2026-04,CELL-DEL-03,Delhi,9090,12501.6
2026-05,CELL-DEL-03,Delhi,8615.4,12501.6
2026-06,CELL-DEL-03,Delhi,9699.5,12501.6
2026-07,CELL-DEL-03,Delhi,9282.5,12501.6
2024-02,CELL-MUM-01,Mumbai,2690.5,4759.4
2024-03,CELL-MUM-01,Mumbai,2749.5,4759.4
2024-04,CELL-MUM-01,Mumbai,2722.4,4759.4
2024-05,CELL-MUM-01,Mumbai,3092.7,4759.4
2024-06,CELL-MUM-01,Mumbai,,4759.4
2024-07,CELL-MUM-01,Mumbai,3289,4759.4
2024-08,CELL-MUM-01,Mumbai,3099.3,4759.4
2024-09,CELL-MUM-01,Mumbai,2941.3,4759.4
2024-10,CELL-MUM-01,Mumbai,2900.7,4759.4
2024-11,CELL-MUM-01,Mumbai,2676.6,4759.4
2024-12,CELL-MUM-01,Mumbai,2627.6,4759.4
2025-01,CELL-MUM-01,Mumbai,2841.8,4759.4
2025-02,CELL-MUM-01,Mumbai,3085.1,4759.4
2025-03,CELL-MUM-01,Mumbai,3015.4,4759.4
2025-04,CELL-MUM-01,Mumbai,3173.5,4759.4
2025-05,CELL-MUM-01,Mumbai,3604.8,4759.4
2025-06,CELL-MUM-01,Mumbai,3539.4,4759.4
2025-07,CELL-MUM-01,Mumbai,3571.2,4759.4
2025-08,CELL-MUM-01,Mumbai,3309.5,4759.4
2025-09,CELL-MUM-01,Mumbai,3180.4,4759.4
2025-10,CELL-MUM-01,Mumbai,3223.4,4759.4
2025-11,CELL-MUM-01,Mumbai,,4759.4
2025-12,CELL-MUM-01,Mumbai,3144.6,4759.4
2026-01,CELL-MUM-01,Mumbai,3025.6,4759.4
2026-02,CELL-MUM-01,Mumbai,3012.1,4759.4
2026-03,CELL-MUM-01,Mumbai,3222.5,4759.4
2026-04,CELL-MUM-01,Mumbai,3619.6,4759.4
2026-05,CELL-MUM-01,Mumbai,3851.1,4759.4
2026-06,CELL-MUM-01,Mumbai,3477.9,4759.4
2026-07,CELL-MUM-01,Mumbai,4157.4,4759.4
2024-02,CELL-MUM-02,Mumbai,3786.1,11514.8
2024-03,CELL-MUM-02,Mumbai,3749.8,11514.8
2024-04,CELL-MUM-02,Mumbai,4377.4,11514.8
2024-05,CELL-MUM-02,Mumbai,4794,11514.8
2024-06,CELL-MUM-02,Mumbai,4837.7,11514.8
2024-07,CELL-MUM-02,Mumbai,4726.6,11514.8
2024-08,CELL-MUM-02,Mumbai,4898.9,11514.8
2024-09,CELL-MUM-02,Mumbai,4763.4,11514.8
2024-10,CELL-MUM-02,Mumbai,4300.9,11514.8
2024-11,CELL-MUM-02,Mumbai,4276.3,11514.8
2024-12,CELL-MUM-02,Mumbai,3893.4,11514.8
2025-01,CELL-MUM-02,Mumbai,4318,11514.8
2025-02,CELL-MUM-02,Mumbai,4416.9,11514.8
2025-03,CELL-MUM-02,Mumbai,4877.6,11514.8
2025-04,CELL-MUM-02,Mumbai,5461.4,11514.8
2025-05,CELL-MUM-02,Mumbai,5451.7,11514.8
2025-06,CELL-MUM-02,Mumbai,5713.8,11514.8
2025-07,CELL-MUM-02,Mumbai,5798.8,11514.8
2025-08,CELL-MUM-02,Mumbai,5835.6,11514.8
2025-09,CELL-MUM-02,Mumbai,5290.8,11514.8
