reading_ts,cell_id,region,latency_ms,throughput_mbps,downtime_min,drop_call_rate_pct,active_users
2026-08-04 06:30:00,CELL-BLR-01,Bengaluru,39.22,194.69,0,0.847,473
2026-08-01 16:30:00,CELL-MUM-02,Mumbai,44.42,165.47,0,0.363,268
2026-08-03 21:15:00,CELL-DEL-02,Delhi,56.29,190.52,0,0.921,352
2026-08-02 05:45:00,CELL-HYD-01,Hyderabad,33.93,135.6,0,0.44,285
2026-08-02 17:00:00,CELL-CHE-02,Chennai,27.93,126.54,0,0.246,469
2026-08-03 07:30:00,CELL-BLR-03,Bengaluru,39.97,193.2,0,0.162,447
2026-08-05 12:00:00,CELL-HYD-03,Hyderabad,36.08,-219.9,0,0.641,386
2026-08-03 05:30:00,CELL-KOL-01,Kolkata,48.0,198.69,0,0.502,332
2026-08-05 07:45:00,CELL-CHE-01,Chennai,31.01,184.55,0,0.491,66
2026-08-04 06:15:00,CELL-BLR-01,Bengaluru,39.74,191.13,0,0.453,254
2026-08-05 06:30:00,CELL-DEL-03,Delhi,34.1,169.24,0,1.035,316
2026-08-02 16:15:00,CELL-KOL-01,Kolkata,44.27,169.63,0,0.65,303
2026-08-03 00:30:00,CELL-CHE-01,Chennai,36.79,197.42,0,0.143,392
2026-08-04 16:00:00,CELL-HYD-03,Hyderabad,34.49,151.49,0,0.841,261
2026-08-02 05:15:00,CELL-DEL-03,Delhi,34.51,219.1,0,0.76,312
2026-08-02 23:45:00,CELL-BLR-01,Bengaluru,46.42,186.96,0,0.578,415
2026-08-01 01:30:00,CELL-KOL-03,Kolkata,29.2,241.64,0,0.596,247
2026-08-01 02:30:00,CELL-KOL-01,Kolkata,39.38,194.27,0,0.35,121
2026-08-05 17:45:00,CELL-CHE-01,Chennai,41.62,152.06,0,0.52,405
2026-08-02 16:00:00,CELL-DEL-02,Delhi,49.15,222.26,0,0.12,550
2026-08-02 20:30:00,CELL-CHE-02,Chennai,43.36,110.76,0,1.445,156
2026-08-01 16:15:00,CELL-HYD-03,Hyderabad,30.23,140.78,0,0.772,228
2026-08-03 21:30:00,CELL-CHE-01,Chennai,41.05,146.35,0,0.649,216
2026-08-04 10:00:00,CELL-HYD-02,Hyderabad,33.57,199.09,0,0.405,384
2026-08-03 05:15:00,CELL-DEL-01,Delhi,25.21,237.67,0,0.395,200
2026-08-01 23:45:00,CELL-HYD-03,Hyderabad,35.21,107.3,0,0.641,210
2026-08-01 14:30:00,CELL-MUM-01,Mumbai,32.67,222.35,0,0.759,329
2026-08-05 23:00:00,CELL-CHE-02,Chennai,33.85,134.08,0,0.655,358
2026-08-04 14:00:00,CELL-CHE-01,Chennai,38.0,161.27,0,0.306,225
2026-08-05 13:45:00,CELL-BLR-01,Bengaluru,33.77,172.56,0,0.492,410
2026-08-05 21:15:00,CELL-BLR-02,Bengaluru,35.59,-558.91,0,0.412,430
2026-08-01 10:15:00,CELL-HYD-01,Hyderabad,31.93,158.6,0,0.463,439
2026-08-01 17:15:00,CELL-DEL-02,Delhi,41.11,227.97,0,0.441,332
2026-08-04 03:30:00,CELL-KOL-02,Kolkata,26.05,196.12,0,0.305,214
2026-08-04 15:30:00,CELL-MUM-03,Mumbai,44.39,153.41,0,1.079,146
2026-08-02 19:30:00,CELL-CHE-01,Chennai,44.06,124.67,0,0.75,625
2026-08-01 03:15:00,CELL-BLR-01,Bengaluru,35.66,176.36,0,0.592,266
2026-08-01 17:00:00,CELL-CHE-02,Chennai,30.14,139.02,0,0.595,431
2026-08-02 05:30:00,CELL-BLR-01,Bengaluru,40.17,218.34,0,0.401,252
2026-08-03 05:30:00,CELL-BLR-01,Bengaluru,40.54,185.87,0,0.416,223
2026-08-02 11:00:00,CELL-CHE-03,Chennai,41.19,201.94,0,0.618,233
2026-08-04 08:30:00,CELL-BLR-02,Bengaluru,26.34,231.5,0,0.413,430
2026-08-05 23:00:00,CELL-CHE-03,Chennai,42.55,217.67,0,0.643,370
2026-08-04 17:00:00,CELL-MUM-02,Mumbai,48.53,157.55,0,0.701,332
2026-08-04 10:15:00,CELL-BLR-02,Bengaluru,28.34,217.12,0,0.676,474
2026-08-05 12:45:00,CELL-CHE-02,Chennai,36.83,141.1,0,0.865,432
2026-08-01 04:00:00,CELL-BLR-03,Bengaluru,41.02,199.01,0,0.642,237
2026-08-04 00:15:00,CELL-KOL-02,Kolkata,28.48,181.77,0,0.328,391
2026-08-02 17:30:00,CELL-BLR-02,Bengaluru,35.92,186.76,0,0.78,442
2026-08-01 22:00:00,CELL-CHE-01,Chennai,43.01,138.09,0,0.433,391
2026-08-01 12:00:00,CELL-MUM-03,Mumbai,54.48,126.25,0,0.965,208
2026-08-01 08:00:00,CELL-KOL-03,Kolkata,31.58,209.6,0,0.607,488
2026-08-05 04:00:00,CELL-BLR-02,Bengaluru,27.54,269.3,0,0.71,421
2026-08-02 17:30:00,CELL-BLR-01,Bengaluru,40.36,160.65,0,0.586,464
2026-08-01 12:45:00,CELL-MUM-03,Mumbai,56.18,122.12,0,0.895,350
2026-08-01 15:45:00,CELL-KOL-01,Kolkata,49.87,191.66,0,0.882,327
2026-08-02 23:30:00,CELL-BLR-02,Bengaluru,33.8,227.56,0,0.533,273
2026-08-04 02:45:00,CELL-BLR-02,Bengaluru,,0.0,15,0.423,374
2026-08-02 09:15:00,CELL-MUM-02,Mumbai,44.98,165.45,0,0.12,251
2026-08-05 03:45:00,CELL-DEL-03,Delhi,23.54,169.14,0,0.337,195
2026-08-02 18:30:00,CELL-MUM-02,Mumbai,54.8,142.54,0,0.758,582
2026-08-04 17:15:00,CELL-CHE-02,Chennai,28.84,139.41,0,0.909,383
2026-08-02 08:00:00,CELL-DEL-02,Delhi,40.16,225.82,0,0.223,368
2026-08-03 04:15:00,CELL-BLR-01,Bengaluru,32.04,233.54,0,0.653,389
2026-08-02 15:00:00,CELL-CHE-01,Chennai,27.83,191.74,0,0.549,287
2026-08-02 19:45:00,CELL-DEL-01,Delhi,37.66,153.27,0,0.954,328
2026-08-01 13:15:00,CELL-HYD-02,Hyderabad,39.77,173.84,0,0.827,276
