customer_id,month,data_gb,voice_min,intl_min,sms_count,revenue_inr,failed_payment_count,days_active
SUB101624,2026-06,34.75,49,1,22,506.86,0,26
SUB102680,2026-06,5.87,146,5,5,230.31,0,26
SUB102292,2026-02,5.28,134,3,19,129.74,0,28
SUB101409,2026-02,1.71,505,2,9,105.97,0,26
SUB101802,2026-07,2.81,260,2,13,150.03,0,26
SUB100597,2026-06,15.53,265,4,15,333.63,0,27
SUB100256,2026-04,10.54,335,1,3,354.71,0,29
SUB102807,2026-05,7.16,525,1,3,226.72,0,29
SUB100950,2026-02,3.72,126,0,10,266.9,0,28
SUB101595,2026-07,1.4,412,1,10,175.21,0,27
SUB102697,2026-07,0.73,70,2,5,237.0,1,28
SUB103182,2026-02,5.3,175,1,10,133.45,0,28
SUB102698,2026-07,19.02,732,0,11,328.27,0,27
SUB100267,2026-02,6.72,59,3,8,282.97,1,29
SUB100789,2026-06,6.71,180,3,13,175.35,0,30
SUB101890,2026-02,8.0,200,0,7,307.94,0,27
SUB102380,2026-06,10.39,120,2,14,286.58,1,27
SUB102973,2026-03,12.21,95,1,7,301.31,0,26
SUB102120,2026-03,14.19,183,4,9,449.84,0,30
SUB102937,2026-07,9.53,150,1,17,355.35,0,28
SUB101607,2026-03,2.78,374,3,16,113.48,0,26
SUB101803,2026-02,15.42,44,3,10,179.06,0,27
SUB100667,2026-07,2.76,114,2,12,210.91,0,28
SUB102869,2026-06,27.49,54,4,2,363.18,0,30
SUB103099,2026-04,5.47,404,4,11,251.07,1,29
SUB101411,2026-07,24.69,196,0,14,403.65,0,28
SUB100925,2026-07,2.8,208,0,15,230.59,0,27
SUB101947,2026-02,17.78,307,1,19,425.46,0,27
SUB102952,2026-06,16.87,69,1,17,408.05,0,30
SUB101458,2026-07,3.73,106,3,9,225.37,0,26
SUB100417,2026-06,2.41,549,1,10,192.98,0,29
SUB102520,2026-02,9.23,74,3,7,217.47,0,27
SUB100115,2026-02,8.04,15,1,23,195.71,0,26
SUB100427,2026-03,10.15,273,0,15,255.4,0,29
SUB101020,2026-05,2.25,102,2,8,264.42,0,29
SUB102174,2026-03,4.24,235,1,16,286.31,0,29
SUB102468,2026-05,13.5,234,5,8,331.31,1,27
SUB102152,2026-07,8.49,60,2,12,241.07,0,28
SUB101078,2026-07,1.01,205,1,8,110.44,0,26
SUB100011,2026-07,6.48,88,4,15,423.8,0,28
SUB101327,2026-03,15.64,93,1,11,476.64,0,30
SUB101206,2026-02,13.26,87,2,14,275.76,0,26
SUB102091,2026-02,5.62,221,3,7,285.09,0,27
SUB101031,2026-03,6.08,71,2,12,304.59,0,30
