reading_ts,cell_id,region,latency_ms,throughput_mbps,downtime_min,drop_call_rate_pct
2026-08-03 00:00:00,CELL-BLR-01,Bengaluru,29.46,196.21,0,0.322
2026-08-03 00:00:00,CELL-BLR-02,Bengaluru,32.28,273.34,0,0.47
2026-08-03 00:00:00,CELL-BLR-03,Bengaluru,30.45,185.44,0,0.802
2026-08-03 00:00:00,CELL-DEL-01,Delhi NCR,29.26,304.84,0,0.641
2026-08-03 00:00:00,CELL-DEL-02,Delhi NCR,29.01,266.45,0,0.8
2026-08-03 00:00:00,CELL-DEL-03,Delhi NCR,29.4,292.39,0,0.519
2026-08-03 00:00:00,CELL-KOL-01,Kolkata,30.75,280.57,0,0.467
2026-08-03 00:00:00,CELL-KOL-02,Kolkata,33.44,247.14,0,0.428
2026-08-03 00:00:00,CELL-KOL-03,Kolkata,34.75,195.88,0,0.612
2026-08-03 00:00:00,CELL-MUM-01,Mumbai,31.02,181.48,0,0.616
2026-08-03 00:00:00,CELL-MUM-02,Mumbai,31.48,230.64,0,0.616
2026-08-03 00:00:00,CELL-MUM-03,Mumbai,30.11,298.37,0,0.562
2026-08-03 00:15:00,CELL-BLR-01,Bengaluru,26.62,190.04,0,0.582
2026-08-03 00:15:00,CELL-BLR-02,Bengaluru,30.46,266.1,0,0.628
2026-08-03 00:15:00,CELL-BLR-03,Bengaluru,28.05,187.99,0,0.486
2026-08-03 00:15:00,CELL-DEL-01,Delhi NCR,29.44,317.4,0,0.596
2026-08-03 00:15:00,CELL-DEL-02,Delhi NCR,29.41,288.5,0,0.27
2026-08-03 00:15:00,CELL-DEL-03,Delhi NCR,33.39,296.15,0,0.651
2026-08-03 00:15:00,CELL-KOL-01,Kolkata,25.74,282.06,0,0.885
2026-08-03 00:15:00,CELL-KOL-02,Kolkata,33.77,258.7,0,0.66
2026-08-03 00:15:00,CELL-KOL-03,Kolkata,31.89,175.44,0,0.548
2026-08-03 00:15:00,CELL-MUM-01,Mumbai,33.09,187.73,0,0.554
2026-08-03 00:15:00,CELL-MUM-02,Mumbai,33.83,208.74,0,0.603
