customer_id,month,data_gb,voice_min,intl_min,sms_count,revenue_inr,recharge_count,failed_payment_count
TEL-10001,2026-01,1.82,144,0.3,11,327,3,0
TEL-10001,2026-02,2.01,223,0.4,16,312.27,4,0
TEL-10001,2026-03,1.72,114,0.7,15,270.08,4,0
TEL-10001,2026-04,1.81,175,1.2,14,237.77,4,0
TEL-10001,2026-05,1.99,112,1.1,14,342.97,4,0
TEL-10001,2026-06,2.02,133,0.6,8,257.16,2,0
TEL-10002,2026-01,15.26,433,2,16,466.81,1,0
TEL-10002,2026-02,19.3,468,21.1,15,475.15,1,0
TEL-10002,2026-03,31.46,516,35.5,23,548.93,3,0
TEL-10002,2026-04,28.68,398,19.2,15,535.48,3,0
TEL-10002,2026-05,26.36,400,20.8,16,484.96,3,0
TEL-10002,2026-06,25,402,8.2,15,467.7,1,0
TEL-10003,2026-01,3.99,148,0.1,5,175.15,2,0
TEL-10003,2026-02,3.34,77,3.8,13,174.47,3,0
TEL-10003,2026-03,4.42,146,0.1,13,178.48,1,0
TEL-10003,2026-04,3.49,149,0.8,12,161.31,3,0
TEL-10003,2026-05,3.73,124,1.1,11,210.01,2,0
TEL-10003,2026-06,3.32,88,1.3,8,160.78,1,0
TEL-10004,2026-01,2.26,732,1.6,30,203.6,1,0
TEL-10004,2026-02,3.73,354,0.4,22,200.11,4,0
TEL-10004,2026-03,1.81,778,2.4,38,166.33,1,0
TEL-10004,2026-04,2.83,670,0.4,43,180.14,4,0
TEL-10004,2026-05,2.74,390,0.9,28,199.5,4,0
TEL-10004,2026-06,2.96,774,1.1,33,239.59,1,0
TEL-10005,2026-01,3.31,184,1.1,11,108.13,4,0
TEL-10005,2026-02,2.77,150,0.4,5,136.61,3,0
TEL-10005,2026-03,2.74,211,1.5,9,122.69,2,0
TEL-10005,2026-04,3.7,171,0.6,11,119.89,4,0
TEL-10005,2026-05,1.78,158,0.6,8,109.87,1,0
TEL-10005,2026-06,2.24,117,0.1,7,121.65,2,0
TEL-10006,2026-01,5.7,273,0.5,16,386.24,1,0
TEL-10006,2026-02,2.3,248,2.6,17,385.05,3,0
TEL-10006,2026-03,5.17,178,0.3,30,495.61,2,0
TEL-10006,2026-04,5.73,121,0.4,9,445.99,3,0
TEL-10006,2026-05,7.15,213,0.1,12,380.99,1,0
TEL-10006,2026-06,7.85,293,0.6,16,446.98,1,0
TEL-10007,2026-01,1.41,287,1.1,33,330.18,4,0
TEL-10007,2026-02,2.2,337,1.3,46,257.21,1,0
TEL-10007,2026-03,2.12,342,0.2,41,309.56,3,0
TEL-10007,2026-04,0.94,348,0,45,323.76,4,0
TEL-10007,2026-05,1.73,581,0.1,45,277.52,3,0
TEL-10007,2026-06,1.58,399,0.1,28,313.38,3,0
TEL-10008,2026-01,5.45,151,0.7,20,199.37,3,0
TEL-10008,2026-02,4.22,209,0.3,14,183.64,1,0
TEL-10008,2026-03,7.16,208,0.9,14,209.32,1,0
TEL-10008,2026-04,4.84,174,0.3,17,194.03,2,0
TEL-10008,2026-05,6.47,154,0.7,19,198.09,2,0
TEL-10008,2026-06,7.12,206,0.1,15,201.98,3,0
TEL-10009,2026-01,18.98,168,1.7,1,295.49,2,0
TEL-10009,2026-02,17.64,90,2.7,1,270.4,3,0
TEL-10009,2026-03,28.85,64,1,0,276.51,2,0
TEL-10009,2026-04,25.54,168,0.2,0,319.44,1,0
TEL-10009,2026-05,14.67,113,0.9,2,328.24,4,0
TEL-10009,2026-06,27.82,124,0.8,3,331.75,1,0
TEL-10010,2026-01,26.97,176,0.1,5,380.19,4,0
TEL-10010,2026-02,25.99,200,0.5,15,454.09,4,0
TEL-10010,2026-03,25.72,183,0.2,13,426.63,1,0
TEL-10010,2026-04,16.19,153,2.6,11,495.74,1,0
TEL-10010,2026-05,31.62,164,0.7,9,451.76,1,0
TEL-10010,2026-06,16.28,96,0.5,9,406.95,3,0
TEL-10011,2026-01,14.41,207,0.3,17,317.23,2,0
TEL-10011,2026-02,17.22,315,0.5,13,231.44,4,0
TEL-10011,2026-03,12.27,405,1.2,28,306.81,4,0
TEL-10011,2026-04,17.07,268,0.1,17,278.13,4,0
TEL-10011,2026-05,9.85,309,0.3,18,295.37,2,0
TEL-10011,2026-06,15.75,300,1.9,22,307.58,3,0
TEL-10012,2026-01,6.1,153,1.1,8,246.49,3,0
TEL-10012,2026-02,6.41,124,0.4,13,287.74,1,0
TEL-10012,2026-03,5.27,150,1.5,15,236.5,2,0
TEL-10012,2026-04,4.69,143,2.4,6,239.6,3,0
TEL-10012,2026-05,6.86,127,0.3,10,252.91,1,0
TEL-10012,2026-06,4.67,126,0.1,8,263.61,1,0
TEL-10013,2026-01,2.61,268,6,41,413.26,2,0
TEL-10013,2026-02,2.02,391,9.4,32,434.3,2,0
TEL-10013,2026-03,2.63,392,0.9,35,483.07,4,0
TEL-10013,2026-04,2.39,362,33.2,28,462.54,1,0
TEL-10013,2026-05,3.33,406,8.6,41,381.87,4,0
TEL-10013,2026-06,2.42,415,50.7,28,537.3,4,0
TEL-10014,2026-01,6.58,199,1.1,11,209.15,3,0
TEL-10014,2026-02,5.43,107,2.2,15,207.03,3,0
TEL-10014,2026-03,7.25,189,1.2,15,191.48,4,0
TEL-10014,2026-04,7.2,164,0.7,16,212.39,1,0
TEL-10014,2026-05,6.54,111,0.4,12,189.96,4,0
TEL-10014,2026-06,7.84,169,0.4,13,202.26,4,0
TEL-10015,2026-01,1.56,105,1.5,7,241.7,3,0
TEL-10015,2026-02,1.67,157,0.8,16,216.84,3,0
TEL-10015,2026-03,3.1,111,0.4,12,234.54,3,0
TEL-10015,2026-04,2.12,129,0.3,13,176.9,1,0
TEL-10015,2026-05,2.76,89,0.7,18,226.8,3,0
TEL-10015,2026-06,3.27,83,0.3,8,233.76,1,0
TEL-10016,2026-01,4.68,101,0.3,11,210.77,3,0
TEL-10016,2026-02,3.58,127,1,9,213.3,1,0
TEL-10016,2026-03,3.01,147,0.3,12,194.73,2,0
TEL-10016,2026-04,1.81,92,0.9,8,210.94,1,0
TEL-10016,2026-05,3.65,86,1.3,6,194.24,3,0
TEL-10016,2026-06,4.13,99,0,7,228.86,2,0
TEL-10017,2026-01,3.81,209,0.6,7,269.79,2,0
TEL-10017,2026-02,4.85,215,0.8,5,265.89,3,0
TEL-10017,2026-03,4.08,225,0.7,9,261.96,1,0
TEL-10017,2026-04,2.84,194,0.2,18,229.3,2,0
TEL-10017,2026-05,4.77,201,0.4,9,265.74,2,0
TEL-10017,2026-06,4.09,246,1.5,8,267.44,2,0
TEL-10018,2026-01,3.19,177,2,14,158.39,1,0
TEL-10018,2026-02,2.92,136,1,10,178.48,3,0
TEL-10018,2026-03,2.06,145,0.1,12,150.31,1,0
TEL-10018,2026-04,2.85,153,0.5,11,188.71,4,0
TEL-10018,2026-05,3.97,110,1,16,140.94,4,0
TEL-10018,2026-06,2.05,171,0.3,11,156.59,3,0
TEL-10019,2026-01,22.42,222,1.6,7,436.7,4,0
TEL-10019,2026-02,23.15,275,0.3,6,402.35,4,0
TEL-10019,2026-03,41.29,222,0.9,8,337.75,3,0
