invoice_id,customer_id,monthly_charge,amount_paid,bill_date
INV09000,1001,1083.52,1083.52,2024-06-30
INV09001,1002,710.0,710.0,2024-06-30
INV09002,1003,1208.22,459.13,2024-06-30
INV09003,1004,710.11,,2024-06-30
INV09004,1005,813.82,813.82,2024-06-30
INV09005,1006,1029.78,1029.78,2024-06-30
INV09006,1007,Rs.849.00,1095.51,2024-06-30
INV09007,1008,668.41,668.41,2024-06-30
INV09008,1009,689.5,563.25,2024-06-30
INV09009,1010,694.08,694.08,2024-06-30
INV09010,1011,1122.85,1122.85,2024-06-30
INV09011,1012,1054.44,,2024-06-30
INV09012,1013,462.17,462.17,2024-06-30
INV09013,1014,983.9,983.9,2024-06-30
INV09014,1015,568.43,568.43,2024-06-30
INV09015,1016,287.64,152.4,2024-06-30
INV09016,1017,367.09,367.09,2024-06-30
INV09017,1018,655.35,655.35,2024-06-30
INV09018,1019,"₹1,020.00",569.03,2024-06-30
INV09019,1020,627.42,627.42,2024-06-30
INV09020,1021,1239.67,1026.94,2024-06-30
INV09021,1022,832.26,832.26,2024-06-30
INV09022,1023,1236.02,,2024-06-30
INV09023,1024,627.99,627.99,2024-06-30
INV09024,1025,1118.3,1118.3,2024-06-30
INV09025,1026,1007.1,1007.1,2024-06-30
INV09026,1027,1186.59,1186.59,2024-06-30
INV09027,1028,499.23,499.23,2024-06-30
INV09028,1029,626.74,626.74,2024-06-30
INV09029,1030,1076.96,1076.96,2024-06-30
INV09030,1031,1123.56,,2024-06-30
INV09031,1032,1277.79,1277.79,2024-06-30
INV09032,1033,1196.62,1196.62,2024-06-30
INV09033,1034,928.3,517.22,2024-06-30
INV09034,1035,1152.54,1152.54,2024-06-30
INV09035,1036,INR 640,485.17,2024-06-30
INV09036,1037,699.17,699.17,2024-06-30
INV09037,1038,1166.6,1166.6,2024-06-30
INV09038,1039,1245.32,1245.32,2024-06-30
INV09039,1040,1117.4,1117.4,2024-06-30
INV09040,1041,1022.93,891.13,2024-06-30
INV09041,1042,445.64,,2024-06-30
INV09042,1043,243.28,109.08,2024-06-30
INV09043,1044,1122.15,1122.15,2024-06-30
INV09044,1045,461.4,461.4,2024-06-30
INV09045,1046,324.83,324.83,2024-06-30
INV09046,1047,710.54,710.54,2024-06-30
INV09047,1048,604.78,604.78,2024-06-30
INV09048,1049,1259.11,1259.11,2024-06-30
INV09049,1050,1054.57,513.18,2024-06-30
INV09050,1051,835.55,,2024-06-30
INV09051,1052,832.38,832.38,2024-06-30
INV09052,1053,611.84,611.84,2024-06-30
INV09053,1054,417.16,417.16,2024-06-30
INV09054,1055,1112.63,1112.63,2024-06-30
INV09055,1056,965.91,965.91,2024-06-30
INV09056,1057,951.68,951.68,2024-06-30
INV09057,1058,1074.85,1074.85,2024-06-30
INV09012,1013,755.0,755.0,2024-06-30
