ticket_id,customer_id,category,complaint_date,status,resolution_hours
TKT0500,1003,Service,2024-06-18,Open,
TKT0501,1043,Service,2024-06-03,Closed,3
TKT0502,1055,network issue,2024-06-27,Open,
TKT0503,1007,Device,2024-06-12,Open,
TKT0504,1046,Billing,2024-06-14,Closed,95
TKT0505,1034,Service,14/06/2024,Open,
TKT0506,1030,Device,2024-06-27,Closed,43
TKT0507,1055,Billing,2024-06-27,Closed,37
TKT0508,1057,Device,2024-06-08,Open,
TKT0509,1037,NETWORK,2024-06-11,Closed,65
TKT0510,1055,Service,2024-06-06,Open,
TKT0511,1014,Service,2024-06-26,Closed,45
TKT0512,1018,Service,2024-06-18,Closed,68
TKT0513,1013,Network,22-Jun-2024,Open,
TKT0514,1032,Billing,2024-06-23,Open,
TKT0515,1042,Device,2024-06-15,Closed,13
TKT0516,1019,Billing,2024-06-13,Closed,41
TKT0517,1043,Netwrk,2024-06-16,Closed,56
TKT0518,1048,Service,2024-06-12,Open,
TKT0519,1018,Service,2024-06-09,Closed,17
TKT0520,1047,Billing,2024-06-11,Closed,70
TKT0521,1049,Billing,2024-06-07,Closed,96
TKT0522,1031,Service,2024-06-24,Closed,14
TKT0523,1054,Billing,2024-06-10,Closed,48
TKT0524,1012,billing ,2024-06-01,Closed,37
TKT0525,1003,Network,2024-06-18,Closed,91
TKT0526,1009,Device,2024-06-04,Closed,75
TKT0527,1019,Device,2024-06-16,Open,
TKT0528,1022,Billing,2024-06-02,Closed,63
TKT0529,1008,Network,2024-06-13,Open,
TKT0530,1005,Network,2027-01-15,Closed,74
TKT0531,1020,Network,2024-06-08,Closed,73
TKT0532,1049,Device,2024-06-20,Closed,68
TKT0533,1025,Device,2024-06-15,Closed,77
TKT0534,1028,Service,2024-06-19,Closed,80
TKT0535,1048,Network,2024-06-25,Closed,82
TKT0536,1014,Service,2024-06-22,Closed,22
TKT0537,1016,Billing,2026-11-02,Closed,22
TKT0538,1001,Device,2024-06-15,Open,
TKT0539,1019,Network,2024-06-08,Closed,92
TKT0540,1019,Device,2024-06-03,Closed,35
TKT0541,1051,Billing,2024-06-14,Closed,71
