cell_id,timestamp,cell_availability_pct,drop_call_rate_pct,avg_throughput_mbps,prb_utilisation_pct
DEL_0142,2024-06-15 00:00,98.06,0.73,22.3,28.0
DEL_0142,2024-06-15 01:00,97.65,2.14,40.1,75.7
DEL_0142,2024-06-15 02:00,99.8,1.37,33.3,39.3
DEL_0142,2024-06-15 03:00,98.51,1.0,37.2,48.6
DEL_0142,2024-06-15 04:00,99.0,2.36,47.7,60.3
DEL_0142,2024-06-15 05:00,97.56,0.9,44.4,78.2
DEL_0142,2024-06-15 06:00,98.97,0.45,49.3,75.5
DEL_0142,2024-06-15 07:00,104.5,2.08,17.5,54.3
DEL_0142,2024-06-15 08:00,98.61,1.01,61.8,48.5
DEL_0142,2024-06-15 09:00,99.54,2.53,33.4,46.6
DEL_0142,2024-06-15 10:00,98.3,0.63,16.7,46.8
DEL_0142,2024-06-15 11:00,98.74,1.86,29.6,71.2
DEL_0142,2024-06-15 12:00,97.59,0.59,21.6,26.1
DEL_0142,2024-06-15 13:00,99.43,2.3,52.5,18.1
DEL_0142,2024-06-15 14:00,99.67,1.42,10.9,54.3
DEL_0142,2024-06-15 15:00,99.06,1.5,31.9,21.6
DEL_0142,2024-06-15 16:00,98.17,0.69,23.6,79.7
DEL_0142,2024-06-15 17:00,98.71,0.46,42.0,74.0
DEL_0142,2024-06-15 18:00,99.27,1.08,8.7,46.6
DEL_0142,2024-06-15 19:00,98.06,2.25,14.1,84.3
DEL_0142,2024-06-15 20:00,99.12,0.74,58.4,38.4
DEL_0142,2024-06-15 21:00,99.26,1.31,34.1,51.1
DEL_0142,2024-06-15 22:00,98.64,0.72,18.3,60.0
DEL_0142,2024-06-15 23:00,99.37,0.7,11.8,72.1
MUM_0871,2024-06-15 00:00,99.64,1.15,50.5,36.7
MUM_0871,2024-06-15 01:00,97.51,2.0,53.2,58.6
MUM_0871,2024-06-15 02:00,99.15,2.3,32.1,51.9
MUM_0871,2024-06-15 03:00,98.33,2.08,28.4,83.3
MUM_0871,2024-06-15 04:00,99.67,2.56,20.9,44.8
MUM_0871,2024-06-15 05:00,99.64,1.3,25.2,51.1
MUM_0871,2024-06-15 06:00,99.78,0.0124,61.4,73.5
MUM_0871,2024-06-15 07:00,99.13,0.0073,60.1,26.8
MUM_0871,2024-06-15 08:00,99.91,0.0113,13.4,77.2
MUM_0871,2024-06-15 09:00,97.75,0.024,8.8,28.1
MUM_0871,2024-06-15 10:00,99.68,0.0253,12.0,72.7
MUM_0871,2024-06-15 11:00,98.16,1.77,29.5,23.6
MUM_0871,2024-06-15 12:00,98.32,1.88,36.8,84.8
MUM_0871,2024-06-15 13:00,99.07,2.35,34.3,55.9
MUM_0871,2024-06-15 14:00,99.04,0.92,45.0,38.1
MUM_0871,2024-06-15 15:00,98.07,0.6,60.8,71.2
MUM_0871,2024-06-15 16:00,99.26,0.62,17.0,39.0
MUM_0871,2024-06-15 17:00,97.57,1.11,11.0,43.1
MUM_0871,2024-06-15 18:00,98.58,0.94,30.3,65.7
MUM_0871,2024-06-15 19:00,97.95,0.79,40.9,44.8
MUM_0871,2024-06-15 20:00,99.21,1.49,39.5,34.3
MUM_0871,2024-06-15 21:00,99.09,1.41,44.0,80.9
MUM_0871,2024-06-15 22:00,98.66,1.03,37.5,23.2
MUM_0871,2024-06-15 23:00,99.86,2.57,24.2,85.3
CHN_0335,2024-06-15 00:00,99.23,1.41,24.3,88.0
CHN_0335,2024-06-15 01:00,99.63,0.63,28.6,43.1
CHN_0335,2024-06-15 02:00,98.24,1.94,,76.1
CHN_0335,2024-06-15 03:00,98.49,0.42,,72.5
CHN_0335,2024-06-15 04:00,99.93,2.4,,76.3
CHN_0335,2024-06-15 05:00,99.76,2.11,,74.1
CHN_0335,2024-06-15 06:00,98.05,0.82,,70.9
CHN_0335,2024-06-15 07:00,99.42,1.9,,24.8
CHN_0335,2024-06-15 08:00,99.07,0.49,,20.3
CHN_0335,2024-06-15 09:00,98.41,0.69,,40.9
CHN_0335,2024-06-15 10:00,98.54,0.84,50.5,79.4
CHN_0335,2024-06-15 11:00,98.41,1.5,22.7,29.5
CHN_0335,2024-06-15 12:00,99.79,2.48,60.2,38.7
CHN_0335,2024-06-15 13:00,99.68,2.17,33.3,23.3
CHN_0335,2024-06-15 14:00,99.39,0.9,44.5,65.2
CHN_0335,2024-06-15 15:00,101.2,2.26,38.1,24.3
CHN_0335,2024-06-15 16:00,98.49,0.98,14.7,43.8
CHN_0335,2024-06-15 17:00,99.37,0.98,28.6,62.7
CHN_0335,2024-06-15 18:00,98.43,1.88,33.5,61.4
CHN_0335,2024-06-15 19:00,99.86,1.12,40.9,63.3
CHN_0335,2024-06-15 20:00,99.09,1.42,45.9,63.4
CHN_0335,2024-06-15 21:00,97.79,0.5,10.0,87.7
CHN_0335,2024-06-15 22:00,97.79,0.92,37.0,45.2
CHN_0335,2024-06-15 23:00,98.43,2.49,45.6,55.8
KOL_0509,2024-06-15 00:00,98.97,2.0,55.8,63.8
KOL_0509,2024-06-15 01:00,99.58,1.75,58.7,37.6
KOL_0509,2024-06-15 02:00,99.23,0.88,32.0,34.5
KOL_0509,2024-06-15 03:00,98.41,2.56,27.8,81.1
KOL_0509,2024-06-15 04:00,99.11,0.53,22.9,85.8
KOL_0509,2024-06-15 05:00,99.87,2.21,13.0,32.8
KOL_0509,2024-06-15 06:00,99.1,2.54,10.7,41.3
KOL_0509,2024-06-15 07:00,99.97,2.13,19.1,76.1
KOL_0509,15/06/2024 08:00,98.89,1.69,51.9,34.3
KOL_0509,15-Jun-2024 09:00,99.44,2.14,40.2,37.4
KOL_0509,2024-06-15 10:00,99.96,2.57,37.2,73.9
KOL_0509,2024-06-15 11:00,97.77,2.31,15.1,43.1
KOL_0509,2024-06-15 12:00,99.47,1.7,8.9,36.6
KOL_0509,2024-06-15 13:00,97.82,1.33,14.1,22.4
KOL_0509,2024-06-15 14:00,98.62,1.2,40.1,49.6
KOL_0509,2024-06-15 15:00,98.05,1.75,47.3,81.6
KOL_0509,2024-06-15 16:00,99.15,1.06,42.7,20.2
KOL_0509,2024-06-15 17:00,100.0,2.26,31.0,25.6
KOL_0509,2024-06-15 18:00,99.28,1.38,56.6,40.5
KOL_0509,2024-06-15 19:00,97.87,0.68,41.7,59.0
KOL_0509,2024-06-15 20:00,99.28,1.24,40.3,38.6
KOL_0509,2024-06-15 21:00,98.76,1.35,50.8,26.0
KOL_0509,2024-06-15 22:00,99.14,2.33,37.8,78.6
KOL_0509,2024-06-15 23:00,98.58,2.35,30.3,75.9
