customer_id,data_used_gb,calls_made,sms_sent,usage_month
1001,18.2,220,35,2024-06
1002,2.38,93,16,2024-06
1003,18.27,75,20,2024-06
1004,21.06,149,90,2024-06
1005,,10,14,2024-06
1006,3.22,184,19,2024-06
1007,15.82,102,74,2024-06
1008,16.01,118,16,2024-06
1009,2.32,101,5,2024-06
1010,-3.5,61,87,2024-06
1011,7.89,34,45,2024-06
1012,22.11,112,79,2024-06
1013,21.29,68,20,2024-06
1014,27.36,215,22,2024-06
1015,24.82,14,22,2024-06
1016,20.94,93,52,2024-06
1017,,196,31,2024-06
1018,8.35,209,89,2024-06
1019,4.1,17,60,2024-06
1020,7.16,217,58,2024-06
1021,10.57,218,29,2024-06
1022,7.17,176,24,2024-06
1023,11.88,79,8,2024-06
1024,27.11,79,44,2024-06
1025,18.39,110,86,2024-06
1026,27.49,145,42,2024-06
1027,26.37,37,33,2024-06
1028,,75,4,2024-06
1029,4.11,119,44,2024-06
1030,20.73,88,55,2024-06
1031,17.45,138,14,2024-06
1032,11.52,99999,24,2024-06
1033,8.03,189,55,2024-06
1034,1.25,214,68,2024-06
1035,19.61,197,85,2024-06
1036,6.48,118,8,2024-06
1037,26.63,92,79,2024-06
1038,9.61,39,38,2024-06
1039,,178,52,2024-06
1040,9.94,186,37,2024-06
1041,16.06,57,53,2024-06
1042,19.02,105,86,2024-06
1043,21.25,52,78,2024-06
1044,16.45,111,70,2024-06
1045,-0.8,85,36,2024-06
1046,6.83,209,74,2024-06
1047,17.46,90,59,2024-06
1048,13.04,180,27,2024-06
1049,14.9,211,21,2024-06
1050,18.86,80,65,2024-06
1051,18.99,166,42,2024-06
1052,3.7,200,30,2024-06
1053,,65,25,2024-06
1054,5.15,19,31,2024-06
1055,27.57,164,9,2024-06
1056,13.41,169,73,2024-06
1057,6.41,186,49,2024-06
1058,14.45,70,18,2024-06
1059,18.78,9,13,2024-06
1060,22.06,64,22,2024-06
1099,6.4,51,12,2024-06
